Date,dailymeanspeed,dailymeandir
6/1/2001,6.935483871,207.5138426
6/2/2001,8.375,277.8629838
6/3/2001,15.35416667,89.14001567
6/4/2001,6.744186047,261.9446613
6/5/2001,5.214285714,275.2470647
6/6/2001,10.75925926,33.63517157
6/7/2001,17.53571429,72.49796071
6/8/2001,13.07894737,65.52476935
6/9/2001,12.67647059,81.16021873
6/10/2001,11.14285714,98.00877202
6/11/2001,11,64.97502368
6/12/2001,8.875,54.51582028
6/13/2001,8.375,137.2975613
6/14/2001,13.5,328.3597277
6/15/2001,8.366666667,38.62081224
6/16/2001,9.5,34.79666421
6/17/2001,8.321428571,310.0378717
6/18/2001,13.64516129,287.7014517
6/19/2001,7.931034483,358.9484539
6/20/2001,8.225806452,40.40498162
6/21/2001,11.47368421,62.36440542
6/22/2001,14.24242424,80.91236101
6/23/2001,16.32,82.80231678
6/24/2001,20.79166667,83.75178042
6/25/2001,10.42857143,24.14605967
6/26/2001,6.153846154,11.88330741
6/27/2001,5.517241379,11.69974735
6/28/2001,12.28571429,65.52694399
6/29/2001,11.8,64.13225039
6/30/2001,10.14285714,54.26894541
7/1/2001,16.28571429,76.06117149
7/2/2001,7.25,24.50650926
7/3/2001,8.291666667,40.05432767
7/4/2001,15.77142857,44.47153287
7/5/2001,8.03125,359.1964367
7/6/2001,7.666666667,359.7954078
7/7/2001,12.96875,67.21310298
7/8/2001,15.58139535,63.4926471
7/9/2001,16.25490196,59.0214661
7/10/2001,14.14814815,58.14670739
7/11/2001,23.28947368,70
7/12/2001,22.5952381,70
7/13/2001,20.68965517,71.37638059
7/14/2001,20.33333333,78.3338118
7/15/2001,14.875,82.91969935
7/16/2001,10.41666667,73.63740669
7/17/2001,9.75862069,306.851775
7/18/2001,6.703703704,5.248002564
7/19/2001,11,93.23042248
7/20/2001,9.04,233.0996125
7/21/2001,12.04166667,229.0251388
7/22/2001,8.3,63.30054512
7/23/2001,11.22580645,306.6202552
7/24/2001,7.5625,317.5406951
7/25/2001,9.461538462,47.64303226
7/26/2001,7.657142857,85.55087286
7/27/2001,9.185185185,211.462795
7/28/2001,10.6,238.26038
7/29/2001,17.34848485,254.4388739
7/30/2001,8.957446809,317.5542729
7/31/2001,7.970588235,96.16181627
8/1/2001,9.967741935,230.4211113
8/2/2001,14.62222222,270.4118049
8/3/2001,13.11428571,241.7561171
8/4/2001,18.68965517,240.663146
8/5/2001,15.86363636,263.9062621
8/6/2001,6.536585366,225.0146688
8/7/2001,13.53846154,264.1331348
8/8/2001,6.321428571,183.0897436
8/9/2001,10.77419355,239.0020167
8/10/2001,15.13157895,242.6521409
8/11/2001,9.222222222,237.073027
8/12/2001,14.51515152,223.5028237
8/13/2001,11.93023256,324.0192567
8/14/2001,8.551724138,54.26813609
8/15/2001,8,266.4441257
8/16/2001,14.4893617,281.5805293
8/17/2001,9.813953488,313.3025589
8/18/2001,15,70.25621971
8/19/2001,17.71794872,73.83856464
8/20/2001,8.866666667,56.96118884
8/21/2001,5.275,73.07994675
8/22/2001,11.1,83.39547365
8/23/2001,10.64583333,68.17068462
8/24/2001,12.33928571,66.79397196
8/25/2001,15.68292683,81.46327054
8/26/2001,10.54545455,80.90729658
8/27/2001,5.8,344.5574547
8/28/2001,9.256410256,53.27474504
8/29/2001,9.760869565,61.47300232
8/30/2001,6.515151515,357.1733767
8/31/2001,5.790697674,341.2171066
9/1/2001,7.953488372,285.9404774
9/2/2001,5.829268293,300.8930854
9/3/2001,6.46875,42.0135557
9/4/2001,17.31111111,74.44455666
9/5/2001,7.022727273,289.8850272
9/6/2001,9.548387097,239.288825
9/7/2001,9.909090909,246.8028357
9/8/2001,10.10810811,237.0624238
9/9/2001,7.875,199.8550924
9/10/2001,7.708333333,131.7076561
9/11/2001,4.6,37.10808138
9/12/2001,4.714285714,4.920027367
9/13/2001,5.236842105,298.0732458
9/14/2001,7.875,262.6493938
9/15/2001,10.84782609,86.77539528
9/16/2001,7.787234043,98.21325273
9/17/2001,13.21052632,85.48795644
9/18/2001,9.517241379,88.44432066
9/19/2001,4.212121212,36.56880437
9/20/2001,5.034482759,28.38464602
9/21/2001,6.707317073,44.20536297
9/22/2001,3.828571429,28.80814042
9/23/2001,8.060606061,1.149277329
9/24/2001,12.27027027,282.5694351
9/25/2001,15.31914894,284.8979258
9/26/2001,8.148148148,286.3905459
9/27/2001,12.05128205,71.80565335
9/28/2001,10.48837209,31.64018397
9/29/2001,8.647058824,26.70570745
9/30/2001,22.3968254,48.72944961
10/1/2001,17.47272727,37.99049015
10/2/2001,12.53333333,72.29566199
10/3/2001,5.25,84.7615551
10/4/2001,11.0625,91.89476049
10/5/2001,7.764705882,346.5382749
10/6/2001,12.38297872,33.40130344
10/7/2001,9.866666667,54.14244494
10/8/2001,13.37037037,5.043963777
10/9/2001,19.1754386,40.16983225
10/10/2001,15.51612903,27.60146128
10/11/2001,11.63829787,38.17148023
10/12/2001,13.74545455,198.878117
10/13/2001,8.92,223.769801
10/14/2001,8,224.1243571
10/15/2001,4.323529412,254.1024222
10/16/2001,7.810810811,25.5696767
10/17/2001,16.26415094,45.27010153
10/18/2001,11.13461538,16.97291201
10/19/2001,7.342105263,30.76282736
10/20/2001,16.92,44.60173192
10/21/2001,26.11764706,53.55716486
10/22/2001,12.84745763,33.89545964
10/23/2001,9.076923077,31.19586432
10/24/2001,8.666666667,45.93393197
10/25/2001,7.285714286,241.87888
10/26/2001,8.186046512,238.5464722
10/27/2001,3.34375,301.5862935
10/28/2001,3.757575758,240.8919727
10/29/2001,6.488888889,238.7619082
10/30/2001,11.4,217.356447
10/31/2001,5.62962963,135.786565
11/1/2001,4.538461538,239.1517467
11/2/2001,11.05263158,257.3663167
11/3/2001,11.36363636,256.0473295
11/4/2001,8.846153846,350.9087565
11/5/2001,10.66666667,76.82034058
11/6/2001,10.16666667,221.3073757
11/7/2001,9.962962963,211.6842346
11/8/2001,7.204545455,98.28727603
11/9/2001,14.11904762,66.88605095
11/10/2001,12.11111111,111.8192925
11/11/2001,3.766666667,262.4778134
11/12/2001,6.342105263,251.9493606
11/13/2001,9.903846154,234.8710527
11/14/2001,4.575,228.5447601
11/15/2001,15.47619048,233.3033671
11/16/2001,13.96296296,221.8503817
11/17/2001,8.115384615,232.5391405
11/18/2001,10.41304348,48.6069981
11/19/2001,13.82692308,79.39186311
11/20/2001,4.918918919,13.097025
11/21/2001,8.44,45.60444394
11/22/2001,15.875,65.84280771
11/23/2001,15.20833333,81.18015967
11/24/2001,7.695652174,130.7400948
11/25/2001,5.5,260.0577067
11/26/2001,10.90322581,70.63960712
11/27/2001,11.96,84.37048209
11/28/2001,4.083333333,61.33379968
11/29/2001,0.791666667,5.597531826
11/30/2001,0,0
12/1/2001,0,0
12/2/2001,0,0
12/3/2001,6.4,320.4392929
12/4/2001,15.075,275.2880401
12/5/2001,6.666666667,239.389205
12/6/2001,7.571428571,242.3747248
12/7/2001,17.50943396,231.3172262
12/8/2001,4.269230769,316.4672967
12/9/2001,6.242424242,59.25004048
12/10/2001,4.433962264,61.88954641
12/11/2001,2.633333333,42.72944605
12/12/2001,0.5,4.519972767
12/13/2001,0.5,358.6447156
12/14/2001,1.833333333,278.68662
12/15/2001,1.708333333,304.1938375
12/16/2001,2.44,312.7449154
12/17/2001,1.625,336.2670561
12/18/2001,5.103448276,254.5700752
12/19/2001,11.65517241,234.8135293
12/20/2001,9.15,237.4443405
12/21/2001,3.833333333,17.28895958
12/22/2001,14.67741935,63.67073177
12/23/2001,6.111111111,233.5159459
12/24/2001,7.28,240.8159001
12/25/2001,8.75,71.38307207
12/26/2001,8.166666667,86.47144842
12/27/2001,7.615384615,171.7399282
12/28/2001,9.964285714,302.3984624
12/29/2001,16.06060606,266.2217326
12/30/2001,14.5952381,266.6631745
12/31/2001,12.89189189,313.7258115
1/1/2002,25.04166667,164.5211008
1/2/2002,13.51428571,280.6453716
1/3/2002,10.25714286,296.3550367
1/4/2002,16.86046512,233.2469636
1/5/2002,16.67391304,226.9567063
1/6/2002,15.08510638,226.5949772
1/7/2002,8,270.6774916
1/8/2002,6.178571429,40.56585497
1/9/2002,20.21212121,79.98151749
1/10/2002,6.428571429,127.1902996
1/11/2002,5.368421053,269.4829806
1/12/2002,4.257142857,291.0833624
1/13/2002,6.711111111,68.02159518
1/14/2002,12.65116279,92.09406338
1/15/2002,18.26829268,100.3410053
1/16/2002,7.264705882,207.056196
1/17/2002,12.58974359,84.61492058
1/18/2002,31,84.88989211
1/19/2002,26.25806452,62.35232341
1/20/2002,0,0
1/21/2002,4.736842105,237.4091585
1/22/2002,4,291.4473901
1/23/2002,10.08333333,232.9035367
1/24/2002,10.69387755,228.3608198
1/25/2002,4.170731707,250.969946
1/26/2002,2.064516129,338.3699159
1/27/2002,7.045454545,251.0878968
1/28/2002,9.939393939,246.2497954
1/29/2002,4.731707317,300.255993
1/30/2002,16.11111111,251.0585303
1/31/2002,18.35416667,251.2442395
2/1/2002,11.70212766,241.4354855
2/2/2002,8.468085106,66.98695568
