Year,spp_yr,annwindspeed_kph,annwinddir,anndisch_cfs,annsal_ppt,anntemp_c,annwinddir_ew
2001,18,18.86148173267081,29.605058143007195,4552.956989247312,8.379311043566362,6.271952835188129,0.4940186247581651
2002,19,16.154274362901216,332.6682388841243,4304.246163236833,14.191510576684996,6.903977272727273,-0.45914207655351263
2003,19,18.700368516101182,346.7432333755848,6845.83261839396,9.157001049042748,7.113294599447235,-0.22931534529278633
2004,20,17.35208438726031,45.65712035402839,5707.549259322809,13.316589811155028,7.915783560240082,0.7151698456098112
2005,19,17.714933793606196,50.10340747403014,2263.689516129032,6.1691666666666665,6.67810606060606,0.7672032985208027
2006,17,16.4584787464498,34.365404281354415,4551.171643322907,10.520806748359167,8.686636642926965,0.5644686893466044
2007,20,17.09359482741972,51.03277183245889,3033.646847511099,16.416169054801408,8.535550863080275,0.7775057907110609
2008,20,16.389567161782473,26.220827616484087,3743.8481611759325,14.57589453229697,8.406824577861164,0.44183198643762617
2009,21,19.566413800431672,65.13250585203046,3924.8530799588193,19.37774688416422,7.868872892228739,0.9072827362972307
2010,18,16.838451279753965,36.10937873897486,6252.115255376344,10.389839327339327,8.119838494838495,0.5893286092221094
2011,22,18.518640158296243,61.547885575828914,3123.6340725806454,20.102171969558043,8.804319510038603,0.8792155963549744
2012,18,15.790857801129011,52.29086685606291,4857.284946236559,16.310713317847465,9.682898761130469,0.7911260434061921
2013,22,17.411003939061942,28.415634159255877,5192.342069892473,12.79314342520225,9.135316056492528,0.47586421891574965
2014,19,20.657246747215705,47.131772703310354,5922.706653225807,9.847361926198635,7.540281865872032,0.732920271918162
2015,19,18.06453611774152,42.584649143734424,3409.8924180327867,12.247032402326926,7.402970960623975,0.6766787280623101
2016,23,18.301660120027517,35.17517187759228,4736.258400537635,12.460769571740316,8.164404567064143,0.5760781666326481
2017,24,18.290259289433234,44.28520577400903,5011.404569892473,14.077673443581654,9.448452962973079,0.6982304645945772
2018,20,17.268869440767734,0.7657054968648253,7885.552755376344,7.379774184149184,7.259634324009324,0.013363684223209516
